Disciplina;Código;Nome;Peso;Tipo;Data;Tamanho Máximo Grupo
EST00010;Est-P1;Prova Parcial 01;1;P;15/05/2015
EST00010;Est-P2;Prova Parcial 02;1;P;15/06/2015
EST00010;Est-P3;Prova Parcial 03;1;P;20/07/2015
INF00011;Arq-T1;Trabalho Arq Comp 1;1;T;22/04/2015;4
INF00011;Arq-T2;Trabalho Arq Comp 2;2;T;10/06/2015;4
INF00011;Arq-T3;Trabalho Arq Comp 3;2;T;28/07/2015;4
INF00001;Logic-T1;Trabalho Prático 01;1;T;11/04/2015;5
INF00001;Logic-T2;Trabalho Prático 02;1;T;11/07/2015;5
MAT00001;Calc-P1;Prova Parcial 01;1;P;23/04/2015
MAT00001;Calc-P2;Prova Parcial 02;1;P;15/05/2015
MAT00001;Calc-P3;Prova Parcial 03;1;P;20/07/2015
EST00010;Est-PF;Prova Final;1;F;01/08/2015
INF00011;Arq-PF;Prova Final;1;F;06/08/2015
INF00001;Logic-PF;Prova Final;1;F;02/08/2015
MAT00001;Calc-PF;Prova Final;1;F;10/08/2015
