Avaliação;Aluno(s);Nota
Est-P1;2012101005;7,6
Est-P1;2013020004;5,3
Est-P1;2013020005;1,0
Est-P1;2014502005;8,0
Est-P2;2012101005;6,6
Est-P2;2013020004;2,8
Est-P2;2013020005;8,0
Est-P2;2014502005;7,0
Est-P3;2012101005;9,6
Est-P3;2013020004;8,8
Est-P3;2013020005;4,0
Est-P3;2014502005;7,0
Arq-T1;2012101005,2013020004,2014502005,2013011001;7,0
Arq-T2;2012101005,2013020004,2014502005,2013011001;5,5
Arq-T3;2012101005,2013020004,2014502005,2013011001;9,0
Arq-T1;2013011002,2013011003,2013011004,2013011005;8,0
Arq-T2;2013011002,2013011003,2013011004,2013011005;9,0
Arq-T3;2013011002,2013011003,2013011004,2013011005;10,0
Logic-T1;2012101001,2012101002,2012101003,2012101004,2013020001;7,0
Logic-T2;2012101001,2012101002,2012101003,2012101004,2013020001;8,5
Logic-T1;2013011001,2013011002,2013011003,2013011004,2013011005;7,0
Logic-T2;2013011001,2013011002,2013011003,2013011004,2013011005;8,5
Logic-T1;2013020002,2014502001,2014502002,2014502003,2014502004;8,5
Logic-T2;2013020002,2014502001,2014502002,2014502003,2014502004;8,5
Calc-P1;2012101001;8,0
Calc-P1;2012101002;7,0
Calc-P1;2012101003;6,5
Calc-P1;2012101004;3,0
Calc-P1;2013020001;5,0
Calc-P1;2013020002;6,0
Calc-P1;2013020003;7,0
Calc-P2;2012101001;6,0
Calc-P2;2012101002;7,5
Calc-P2;2012101003;8,5
Calc-P2;2012101004;7,0
Calc-P2;2013020001;6,0
Calc-P2;2013020002;5,0
Calc-P2;2013020003;4,2
Calc-P3;2012101001;7,0
Calc-P3;2012101002;7,0
Calc-P3;2012101003;9,0
Calc-P3;2012101004;2,5
Calc-P3;2013020001;4,6
Calc-P3;2013020002;3,0
Calc-P3;2013020003;2,0
Est-PF;2013020005;2,5
Est-PF;2013020004;4,0
Calc-PF;2012101004;4,5
Calc-PF;2013020001;5,0
Calc-PF;2013020002;4,0
Calc-PF;2013020003;7,0
