Disciplina;Código;Nome;Peso;Tipo;Data;Tamanho Máximo Grupo
DEA07877;FFT-P1;Prova Parcial 01;1;P;23/04/2013
DEA07877;FFT-T1;Trabalho Prático 01;1;T;23/05/2013;3
DEA07877;FFT-P2;Prova Parcial 02;1;P;28/06/2013
FIS09066;Fis2-P1;Prova Parcial 01;1;P;15/04/2013
FIS09066;Fis2-P2;Prova Parcial 02;1;P;17/05/2013
FIS09066;Fis2-P3;Prova Parcial 03;1;P;02/07/2013
EPR07984;TGA-P1;Prova Parcial 01;2;P;01/05/2013
EPR07984;TGA-T1;Trabalho Prático 01;1;T;29/06/2013;2
CIV07863;CM-P1;Prova Parcial 01;1;P;15/04/2013
CIV07863;CM-T1;Trabalho Prático 01;1;T;20/05/2013;2
CIV07863;CM-T2;Trabalho Prático 02;1;T;02/07/2013;2
DEA07877;FFT-PF;Prova Final;1;F;10/07/2013
FIS09066;Fis2-PF;Prova Final;1;F;08/07/2013
EPR07984;TGA-PF;Prova Final;1;F;08/07/2013
CIV07863;CM-PF;Prova Final;1;F;09/07/2013
