Código;Disciplina;Curso;Média;% Aprovados
INF01919;Banco de Dados;Ciência da Computação;10,00;100,0%
INF01919;Banco de Dados;Engenharia de Computação;8,40;100,0%
INF01919;Banco de Dados;Engenharia Elétrica;7,79;100,0%
INF03117;Desenvolvimento de Jogos;Doutorado;8,77;100,0%
INF03117;Desenvolvimento de Jogos;Engenharia de Computação;6,27;80,0%
INF06969;Programação Competitiva;Ciência da Computação;9,08;100,0%
INF06969;Programação Competitiva;Engenharia de Computação;8,95;100,0%
INF06969;Programação Competitiva;Engenharia Eletrônica;8,52;100,0%
INF06969;Programação Competitiva;Mestrado;8,33;100,0%
INF06969;Programação Competitiva;Doutorado;3,66;50,0%
INF08000;Inteligência Artificial;Mestrado;10,00;100,0%
INF08000;Inteligência Artificial;Engenharia de Computação;8,23;100,0%
INF08000;Inteligência Artificial;Engenharia Eletrônica;7,90;100,0%
INF08000;Inteligência Artificial;Doutorado;7,70;100,0%
INF08000;Inteligência Artificial;Ciência da Computação;6,05;100,0%
