Avaliação;Aluno(s);Nota
P1P;3;8,6
P1P;4;8,9
P1P;5;9,7
P1P;6;4,2
P1P;10;3,6
P1P;11;3,6
P1P;13;7,6
P1P;14;9,3
P1P;20;1,2
T1P;3, 4, 5;10,0
T1P;6, 10, 11;8,5
T1P;13, 14, 20;10,0
T2C;1, 2;6,6
T2C;3, 4;9,1
T2C;5, 9;9,5
T2C;13, 14;9,5
T2C;15, 16;6,4
P2C;1;7,1
P2C;2;7,0
P2C;3;9,0
P2C;4;8,7
P2C;5;9,9
P2C;9;3,2
P2C;13;5,0
P2C;14;9,2
P2C;15;6,8
P2C;16;5,6
T1A;3, 4, 5, 7, 17;10,0
T1A;6, 12, 13, 14, 19;8,4
T1A;8, 18, 15;6,8
FimP;6;7,9
FimP;10;4,0
FimP;11;4,0
FimP;20;2,3
FimC;1;6,9
FimC;2;6,9
FimC;9;3,4
FimC;13;7,6
FimC;15;6,4
FimC;16;4,1
FimA;8;8,1
FimA;15;3,0
FimA;18;1,2
