Disciplina;Código;Avaliação;Data;Média
CIV07863;CM-P1;Prova Parcial 01;15/04/2013;6,93
CIV07863;CM-T1;Trabalho Prático 01;20/05/2013;7,62
CIV07863;CM-T2;Trabalho Prático 02;02/07/2013;6,68
DEA07877;FFT-P1;Prova Parcial 01;23/04/2013;7,68
DEA07877;FFT-T1;Trabalho Prático 01;23/05/2013;6,90
DEA07877;FFT-P2;Prova Parcial 02;28/06/2013;7,86
EPR07984;TGA-P1;Prova Parcial 01;01/05/2013;6,04
EPR07984;TGA-T1;Trabalho Prático 01;29/06/2013;5,24
FIS09066;Fis2-P1;Prova Parcial 01;15/04/2013;6,76
FIS09066;Fis2-P2;Prova Parcial 02;17/05/2013;6,98
FIS09066;Fis2-P3;Prova Parcial 03;02/07/2013;6,20
