Avaliação;Aluno(s);Nota
PC-P1;2013101179;10,0
PC-P1;2013101171;7,7
PC-P1;2011101133;8,43
PC-P1;2011101137;9,3
PC-P1;2011101134;10,0
PC-P1;2011101135;7,9
PC-P1;2011101136;7,0
PC-P1;2011101400;2,8
PC-P2;2013101179;7,7
PC-P2;2013101171;7,9
PC-P2;2011101133;7,0
PC-P2;2011101137;10,0
PC-P2;2011101134;7,0
PC-P2;2011101135;7,0
PC-P2;2011101136;7,0
PC-P2;2011101400;1,3
PC-P3;2013101179;7,7
PC-P3;2013101171;7,0
PC-P3;2011101133;9,3
PC-P3;2011101137;7,9
PC-P3;2011101134;8,4
PC-P3;2011101135;7,0
PC-P3;2011101136;10,0
PC-P3;2011101400;4,9
PC-T1;2013101179, 2013101171, 2011101133;10,0
PC-T1;2011101137, 2011101134, 2011101135;8,4
PC-T1;2011101136, 2011101400;3,4
DJ-T1;2015105512, 2015105497;7,7
DJ-T1;2015105513, 2013101180;0,0
DJ-T1;2011101133, 2011101136;9,3
DJ-T2;2015105512, 2015105497;7,9
DJ-T2;2015105513, 2013101180;0,0
DJ-T2;2011101133, 2011101136;7,0
DJ-T3;2015105512, 2015105497;7,0
DJ-T3;2015105513, 2013101180;0,0
DJ-T3;2011101133, 2011101136;10,0
IA-P1;2015105512;8,4
IA-P1;2015105513;9,3
IA-P1;2015105497;7,0
IA-P1;2013101177;3,0
IA-P1;2013101178;7,9
IA-P1;2013101179;7,0
IA-P1;2011101138;10,0
IA-P1;2011101139;7,7
BD-P1;2013101199;10,0
BD-P1;2011101130;8,4
BD-P1;2011101131;10,0
BD-P1;2011101132;1,17
PC-PF;2011101400;0,0
PC-PF;2011101136;5,3
DJ-PF;2015105513;5,0
DJ-PF;2013101180;10,0
IA-PF;2013101177;7,2
BD-PF;2011101132;10,0
