Avaliação;Aluno(s);Nota
LGraf-P;2016930886;8,5
LGraf-P;2010636915;9,0
LGraf-P;2010238335;8,5
LGraf-P;2011760492;9,0
LGraf-T;2016930886, 2010636915, 2010238335, 2011760492;9,0
Foto-T1;2016930886, 2010636915, 2010238335, 2011760492;9,5
Foto-T1;2010641421, 2011490027, 2011520059, 2012513926;8,5
Foto-T2;2016930886, 2010636915, 2010238335, 2011760492;8,5
Foto-T2;2010641421, 2011490027, 2011520059, 2012513926;9,8
PFE-P1;2013383426;5,5
PFE-P1;2013455736;7,5
PFE-P1;2012595368;8,0
PFE-P1;2016956429;6,0
PFE-P2;2013383426;8,5
PFE-P2;2013455736;9,5
PFE-P2;2012595368;8,8
PFE-P2;2016956429;7,0
PFE-P3;2013383426;4,5
PFE-P3;2013455736;3,5
PFE-P3;2012595368;5,0
PFE-P3;2016956429;4,0
PFE-PF;2013383426;7,5
PFE-PF;2016956429;8,0
PFE-PF;2013455736;6,7
PAL-P1;2012595368;0,8
PAL-P1;2016956429;5,9
PAL-P1;2015021530;7,6
PAL-P1;2015665123;4,0
PAL-P1;2012703135;6,2
PAL-P1;2010979802;9,6
PAL-P1;2010205634;6,7
PAL-P1;2016048126;8,3
PAL-P1;2015386919;1,7
PAL-P1;2009837130;5,1
PAL-P2;2012595368;6,5
PAL-P2;2016956429;2,7
PAL-P2;2015021530;8,5
PAL-P2;2015665123;9,3
PAL-P2;2012703135;7,0
PAL-P2;2010979802;4,4
PAL-P2;2010205634;3,8
PAL-P2;2016048126;0,8
PAL-P2;2015386919;1,3
PAL-P2;2009837130;2,0
PAL-P3;2012595368;8,2
PAL-P3;2016956429;3,5
PAL-P3;2015021530;6,4
PAL-P3;2015665123;0,8
PAL-P3;2012703135;3,8
PAL-P3;2010979802;3,0
PAL-P3;2010205634;9,7
PAL-P3;2016048126;3,0
PAL-P3;2015386919;8,2
PAL-P3;2009837130;4,1
PAL-PF;2012595368;7,5
PAL-PF;2016956429;5,7
PAL-PF;2015665123;9,3
PAL-PF;2012703135;7,5
PAL-PF;2010979802;6,4
PAL-PF;2010205634;6,8
PAL-PF;2016048126;5,8
PAL-PF;2015386919;6,3
PAL-PF;2009837130;7,0
