Avaliação;Aluno(s);Nota
DEF7-P1;2000;8,2
DEF7-P1;2001;9,0
DEF7-P1;2005;7,5
DEF7-P1;2006;0,5
DEF7-P1;2012;7,1
DEF7-P1;2013;0,0
DEF7-P1;2017;2,0
DEF7-T1;2000, 2001;7,0
DEF7-T1;2005, 2012;8,6
DEF7-T1;2006, 2013;0,1
DEF7-T1;2017;1,3
DEF7-T2;2000;8,9
DEF7-T2;2001, 2017;6,9
DEF7-T2;2005, 2013;8,0
DEF7-T2;2006, 2012;8,3
TNINJA-T1;2002, 2003;5,0
TNINJA-T1;2007, 2008;2,0
TNINJA-T1;2011, 2014;10,0
TNINJA-T1;2018, 2019;7,0
TNINJA-T2;2002, 2019;9,8
TNINJA-T2;2003, 2018;8,4
TNINJA-T2;2007, 2014;1,0
TNINJA-T2;2008, 2011;9,8
EF-P1;2004;7,8
EF-P1;2005;0,0
EF-P1;2006;7,7
EF-P1;2009;10,0
EF-P1;2010;9,5
EF-P1;2012;7,5
EF-P1;2015;10,0
EF-P1;2016;7,0
EF-T1;2004, 2005;9,0
EF-T1;2006;8,0
EF-T1;2009;10,0
EF-T1;2010, 2012;7,0
EF-T1;2015, 2016;9,1
EF-T2;2004, 2016;8,6
EF-T2;2005, 2015;0,1
EF-T2;2006, 2012;9,3
EF-T2;2009, 2010;9,4
DEF7-PF;2017;0,0
DEF7-PF;2006;9,0
DEF7-PF;2013;1,1
TNINJA-PF;2007;1,2
TNINJA-PF;2014;9,0
EF-PF;2005;2,0
EF-PF;2015;10,0
