Avaliação;Aluno(s);Nota
BIO2-P1;20149575;2,9
BIO2-P1;20147162;4,2
BIO2-P1;20152670;1,6
BIO2-P1;20154507;4,4
BIO2-P1;20143894;4,3
BIO2-P1;20159112;1,3
BIO2-P1;20156109;4,5
BIO2-P1;20152610;1,4
BIO2-P1;20147220;0,6
BIO2-P1;20144590;6,5
MEP1-P1;20152536;5,3
MEP1-P1;20146105;0,3
MEP1-P1;20156919;2,6
MEP1-P1;20142720;1,7
MEP1-P1;20149419;1,9
MEP1-P1;20143846;6,3
MEP1-P1;20152769;4,1
MEP1-P1;20140436;9,8
MEP1-P1;20148434;2,5
MEP1-P1;20150411;8,8
MEP1-T1;20152536,20146105,20156919,20142720,20149419;2,4
MEP1-T1;20143846,20152769,20140436,20148434,20150411;5,8
BIO2-PF;20149575;6
BIO2-PF;20147162;9,3
BIO2-PF;20152670;6,5
BIO2-PF;20154507;6,2
BIO2-PF;20143894;2
BIO2-PF;20159112;2,8
BIO2-PF;20156109;5,9
BIO2-PF;20152610;9,5
BIO2-PF;20147220;1,2
BIO2-PF;20144590;9,7
MEP1-PF;20152536;9,9
MEP1-PF;20146105;7
MEP1-PF;20156919;1
MEP1-PF;20142720;10
MEP1-PF;20149419;8
MEP1-PF;20143846;9,1
MEP1-PF;20152769;4,8
MEP1-PF;20148434;3,7
